population,individual,continuity_false_t1,continuity_false_t2,continuity_true_t1,continuity_true_t2,LRT,p
CDX,HRR051959,0.46403309,0.97239883,0.54439748,0,2.1850588e-10,-1.17943548e-05
CDX,HRR051960,0.01106433,0.06830499,0.01269833,0,14.31633707,-8.77519968
JPT,HRR051935,0.02395045,0.09069968,0.03826089,0,1533.54360386,-inf
JPT,HRR051936,0.02105655,0.06639056,0.02709411,0,288.3426349,-147.23262207
JPT,HRR051937,0.01410976,0.05092741,0.02170203,0,654.2289983,-330.58354194
JPT,HRR051938,0.01752139,0.10343925,0.01752128,0,9.89530236e-10,-2.50992096e-05
JPT,HRR051939,0.0165352,0.07252125,0.01964162,0,49.75272586,-27.07486428
JPT,HRR051940,0.01345238,0.04239502,0.01516512,0,16.48110206,-9.92088983
JPT,HRR051941,0.01986738,0.0610099,0.02911879,0,794.51401734,-400.82292003
JPT,HRR051942,0.03750601,0.44089743,0.04620279,0,364.80983605,-185.58312011
JPT,HRR051943,0.02843701,0.06911968,0.03520728,0,406.38059145,-206.42217794
JPT,HRR051944,0.03063025,0.15775447,0.0409313,0,951.61085391,-479.4613445
JPT,HRR051945,0.01055218,0.43803529,0.01055216,0,-4.00177669e-11,0.
JPT,HRR051946,0.31443178,0.03239724,0.44804969,0,-2.63675748e-11,0.
JPT,HRR051947,0.02859805,0.16614122,0.03487111,0,222.90486809,-114.38603492
JPT,HRR051948,0.02116179,0.26071151,0.02731933,0,179.23059411,-92.44092866
JPT,HRR051949,0.34991881,0.02611733,0.55188368,0,1.02846176e-10,-8.09162771e-06
JPT,HRR051950,0.01217909,0.68166004,0.0121791,0,4.72937245e-11,-5.48710172e-06
JPT,HRR051951,0.01599537,0.44371073,0.01599537,0,-2.25554686e-10,0.
JPT,HRR051952,0.27627003,0.48492754,0.12742306,0,4.87228036e-11,-5.56938712e-06
JPT,HRR051954,0.00641009,0.0729053,0.00640993,0,-6.98491931e-10,0.
JPT,HRR051955,0.02996185,0.18818097,0.03410399,0,103.73133911,-54.42178135
JPT,HRR051956,0.01097062,0.62738948,0.01097042,0,1.65891834e-09,-3.24982236e-05
JPT,HRR051958,0.37056395,0.65871794,0.31349398,0,5.10851361e-11,-5.70280573e-06
JPT,HRR051959,0.98493892,0.70092936,0.71459907,0,-3.97517574e-11,0.
JPT,HRR051960,0.01497068,0.09589393,0.01728736,0,26.34006342,-15.06626755
KHV,HRR051935,0.02450981,0.10570443,0.04097143,0,2089.06785721,-inf
KHV,HRR051936,0.01794471,0.0766895,0.0248459,0,392.23450679,-199.33150814
KHV,HRR051937,0.01433597,0.06349386,0.02376053,0,1023.5121238,-515.44832553
KHV,HRR051938,0.01297716,0.58624821,0.01297715,0,4.36557457e-11,-5.27183625e-06
KHV,HRR051939,0.01536894,0.0949914,0.01930999,0,85.003497,-44.96032284
KHV,HRR051940,0.01119693,0.06567396,0.01381286,0,39.38482625,-21.77884554
KHV,HRR051941,0.02018158,0.07495333,0.03139469,0,1190.84868925,-599.19218472
KHV,HRR051942,0.02396674,0.30899866,0.03089151,0,236.04023778,-120.98210399
KHV,HRR051943,0.01569709,0.04860196,0.02030031,0,218.7264957,-112.28747104
KHV,HRR051944,0.01642325,0.11708868,0.02403208,0,599.08891606,-302.96961669
KHV,HRR051945,0.00117334,0.05733902,0.00117332,0,-1.8189894e-11,0.
KHV,HRR051946,9.67158351e-01,2.31906767e-01,0.70928192,0,5.26916288e-11,-5.79178099e-06
KHV,HRR051947,0.01390789,0.08009972,0.01719823,0,65.20253293,-34.93059596
KHV,HRR051948,0.00897902,0.14556473,0.01282449,0,71.8787842,-38.31613273
KHV,HRR051949,0.42006843,0.60808886,0.88517363,0,6.29387653e-11,-6.32995388e-06
KHV,HRR051950,1.00000000e-10,3.18522724e-02,1.0000000e-10,0,4.72937245e-11,-5.48710172e-06
KHV,HRR051951,0.00412827,0.52404181,0.00412828,0,7.27595761e-11,-6.80591655e-06
KHV,HRR051952,0.00399833,0.82178194,0.21983761,0,-4.19668744e-11,0.
KHV,HRR051954,1.00000000e-10,3.75890697e-01,1.00000000e-10,0,1.8189894e-11,-3.40295248e-06
KHV,HRR051955,0.01538196,0.07411423,0.01719748,0,21.30058341,-12.44785892
KHV,HRR051956,1.00000000e-10,2.35715855e-01,1.00000000e-10,0,-1.45519152e-10,0.
KHV,HRR051958,0.39498222,0.75156884,0.86291033,0,1.55407243e-10,-9.94667319e-06
KHV,HRR051959,0.84324369,0.39978741,0.47272288,0,9.44377909e-12,-2.45196069e-06
KHV,HRR051960,0.00720207,0.04819246,0.00839815,0,7.68728118,-5.19195321
CEU,HRR051935,0.04511403,0.24500834,0.09178736,0,10286.31502753,-inf
CEU,HRR051936,0.0496878,0.31481278,0.08120317,0,5178.6280484,-inf
CEU,HRR051937,0.04318439,0.22223592,0.0862605,0,10975.42757991,-inf
CEU,HRR051938,0.05224732,0.51000952,0.05224754,0,-1.20780896e-09,0.
CEU,HRR051939,0.04729051,0.76206241,0.06663605,0,2117.7591907,-inf
CEU,HRR051940,0.0461015,0.78130452,0.06401918,0,1952.91432767,-inf
CEU,HRR051941,0.04776857,0.22910009,0.09141059,0,9959.22699996,-inf
CEU,HRR051942,0.0547146,1.73387441,0.06980446,0,1554.01549191,-inf
CEU,HRR051943,0.0477656,0.27429357,0.07714183,0,5415.49699375,-inf
CEU,HRR051944,0.04904011,0.47155174,0.07737284,0,6028.99979898,-inf
CEU,HRR051945,0.05168712,0.83158492,0.05168726,0,1.56433089e-10,-9.97944844e-06
CEU,HRR051946,0.24561817,0.35413573,0.34985746,0,2.0391755e-10,-1.13938327e-05
CEU,HRR051947,0.05729048,0.95281416,0.07713265,0,2667.88477283,-inf
CEU,HRR051948,0.0521765,1.5361661,0.06726494,0,1499.94599456,-inf
CEU,HRR051949,0.21041352,0.11436155,0.67860382,0,4.29307701e-11,-5.22787911e-06
CEU,HRR051950,0.04163359,0.96494093,0.04163364,0,-6.18456397e-11,0.
CEU,HRR051951,0.05097438,0.70301588,0.0509743,0,1.34605216e-10,-9.25705867e-06
CEU,HRR051952,0.41253218,0.89127465,0.50106976,0,5.47455414e-11,-5.90358365e-06
CEU,HRR051954,0.04191607,0.68602404,0.04191599,0,-1.41881173e-10,0.
CEU,HRR051955,0.05867501,1.26449704,0.07116326,0,1299.58269774,-653.60280747
CEU,HRR051956,0.03928756,0.54543423,0.03928749,0,-7.27595761e-11,0.
CEU,HRR051958,0.22149579,0.11116251,0.60023158,0,7.7204243e-11,-7.01071267e-06
CEU,HRR051959,0.93538775,0.49826722,0.29854933,0,9.3860919e-11,-7.73008272e-06
CEU,HRR051960,0.04923407,1.24002535,0.06165971,0,1036.49876462,-521.947938
